日付,バット,利き腕,スイング条件,オンプレーンスコア,体とバットの角度スコア,体の回転による加速スコア,バットスピード (km/h),体の回転によるバットの加速の大きさ（初動） (G),オンプレーンの効率 (%),アッパースイング度 (°), 体とバットの角度（構え） (°), 体とバットの角度（インパクト） (°), バット角度 (°),パワー (kW),スイング時間 (秒),手の最大スピード (km/h),打球スピード (km/h),打球角度 (°),推定飛距離 (m),Date,unixtime,PAofInning,Inning,Batter,name
2025年 2月 21日 金曜日 09:45:11,1 長崎,左,In Game,49,69,68,102.0,20.1,66,-3,97,87,-35,3.46,0.15,31.2,,,,2025/2/21,1740098711,1,1,酒井,"Suguru, Sakai"
2025年 2月 21日 金曜日 09:52:23,1 長崎,左,In Game,56,68,65,102.4,19.1,73,-10,93,82,-32,3.69,0.14,31.4,,,,2025/2/21,1740099143,1,1,酒井,"Suguru, Sakai"
2025年 2月 21日 金曜日 09:52:33,1 長崎,左,In Game,57,66,64,96.4,18.7,74,-13,93,81,-32,3.22,0.14,32.0,,,,2025/2/21,1740099153,1,1,酒井,"Suguru, Sakai"
2025年 2月 21日 金曜日 09:53:16,1 長崎,左,In Game,61,58,69,94.1,20.8,78,-18,90,75,-24,3.35,0.13,31.5,,,,2025/2/21,1740099196,1,1,酒井,"Suguru, Sakai"
2025年 2月 21日 金曜日 09:53:50,1 長崎,左,In Game,62,54,69,94.1,20.6,79,-24,93,72,-26,3.46,0.13,33.0,,,,2025/2/21,1740099230,1,1,酒井,"Suguru, Sakai"
2025年 2月 21日 金曜日 09:55:15,1 長崎,左,In Game,43,49,67,102.0,19.7,59,-5,111,95,-31,3.82,0.13,33.2,,,,2025/2/21,1740099315,1,1,酒井,"Suguru, Sakai"
2025年 2月 21日 金曜日 09:56:48,2 中井,右,Assessment,75,49,69,99.8,20.5,92,7,77,78,-17,3.77,0.13,35.4,,,,2025/2/21,1740099408,2,1,秋元,"Ryo, Akimoto"
2025年 2月 21日 金曜日 09:59:50,4 内田,右,In Game,68,59,46,103.5,11.3,85,2,88,76,-30,3.51,0.15,29.0,,,,2025/2/21,1740099590,4,1,工藤,"Yudai, Kudo"
2025年 2月 21日 金曜日 10:26:30,3 慶応 ,右,General Practice,50,80,24,78.5,2.1,67,13,88,93,-35,1.8,0.17,29.9,,,,2025/2/21,1740101190,3,2,堀部,"Kohei, Horibe"
2025年 2月 21日 金曜日 10:26:35,3 慶応 ,右,General Practice,41,77,25,73.9,2.4,58,21,85,88,-32,1.56,0.17,29.8,,,,2025/2/21,1740101195,3,2,堀部,"Kohei, Horibe"
2025年 2月 21日 金曜日 10:26:40,3 慶応 ,右,General Practice,20,53,25,63.9,2.5,36,25,102,81,-7,0.91,0.22,28.0,,,,2025/2/21,1740101200,3,2,堀部,"Kohei, Horibe"
2025年 2月 21日 金曜日 10:27:28,3 慶応 ,右,General Practice,56,79,51,98.5,13.1,73,3,94,89,-34,2.77,0.17,29.9,,,,2025/2/21,1740101248,3,2,堀部,"Kohei, Horibe"
2025年 2月 21日 金曜日 10:28:13,3 慶応 ,右,General Practice,31,44,40,89.0,8.6,48,5,112,100,-22,2.32,0.17,27.5,,,,2025/2/21,1740101293,3,2,堀部,"Kohei, Horibe"
2025年 2月 21日 金曜日 10:39:39,3 慶応 ,左,In Game,60,55,67,92.9,19.7,77,-25,93,74,-23,3.37,0.13,31.2,,,,2025/2/21,1740101979,3,2,堀部,"Kohei, Horibe"
2025年 2月 21日 金曜日 10:39:43,3 慶応 ,左,In Game,68,48,60,85.8,17.0,85,-30,89,65,-17,3.02,0.12,30.3,,,,2025/2/21,1740101983,3,2,堀部,"Kohei, Horibe"
2025年 2月 21日 金曜日 10:40:32,1 長崎,左,Tee,46,50,48,98.8,12.0,63,12,100,75,-15,2.7,0.18,29.6,,,,2025/2/21,1740102032,1,3,黒武者,"Tetsuta, Kuromusha"
2025年 2月 21日 金曜日 10:41:28,2 中井,左,In Game,60,55,48,99.9,12.2,77,9,107,90,-19,3.08,0.16,31.1,,,,2025/2/21,1740102088,2,3,井之口,"Koji, Inokuchi"
2025年 2月 21日 金曜日 10:42:25,2 中井,左,In Game,62,63,35,90.3,6.6,78,-11,101,91,-41,2.41,0.17,29.9,,,,2025/2/21,1740102145,2,3,井之口,"Koji, Inokuchi"
2025年 2月 21日 金曜日 10:41:32,3 慶応 ,左,In Game,60,55,62,95.1,18.0,77,-19,93,73,-23,3.48,0.13,30.6,,,,2025/2/21,1740102092,3,3,酒井,"Suguru, Sakai"
2025年 2月 21日 金曜日 10:41:36,3 慶応 ,左,In Game,56,56,60,96.6,17.2,73,-17,92,74,-30,3.43,0.13,31.2,,,,2025/2/21,1740102096,3,3,酒井,"Suguru, Sakai"
